dur,imx,imy,ndets,solid_angle,timeID,time,A,Epeak,gamma,nllh,bkg_nllh,TS
2.048,0.98,0.32,8972,9132.761152463234,10242048,785996579.3983401,0.0029577892051080505,792.9923951949362,-0.1,94.81896281676228,205.08701774070113,14.850458236966215
2.048,0.98,0.32,8972,9132.761152463234,5122048,785996578.88634,0.0035086990103469925,661.4413284840888,-0.1,94.00626891611765,211.11550084998694,15.304197589803216
2.048,0.98,0.32,8972,9132.761152463234,15362048,785996579.9103401,0.002481644054038899,788.3785103139555,-0.1,88.80765979307432,165.74804981361672,12.4048692069318
2.048,0.98,0.32,8972,9132.761152463234,81922048,785996586.5663401,0.0017420844731482518,810.8278104897006,-0.1,82.69315996758093,122.51052873747821,8.923829757441284
2.048,0.98,0.32,8972,9132.761152463234,76802048,785996586.05434,0.0014882464665301682,848.4207408454982,-0.1,83.7939454139911,114.69533389460929,7.861474223149013
2.048,0.98,0.32,8972,9132.761152463234,71682048,785996585.54234,0.0011888923858408937,1000.0,-0.1,75.74612930489857,101.00002483284291,7.106883357414041
4.096,0.98,0.32,8972,9132.761152463234,-51204096,785996573.25434,0.0006322034871032615,1000.0,0.01797228567572737,83.25530067321588,96.07268235017533,5.063078446352464
4.096,0.98,0.32,8972,9132.761152463234,-71684096,785996571.2063401,1e-10,11.220184543019636,-0.1,101.14813402646803,101.14813242739473,0.0
4.096,0.98,0.32,8972,9132.761152463234,-61444096,785996572.23034,1e-10,11.220184543019636,-0.1,96.31797107945894,96.31796939191567,0.0
4.096,0.98,0.32,8972,9132.761152463234,-10244096,785996577.35034,0.0032677934675852402,616.2307640874994,-0.1,106.5384811872566,287.3550409464501,19.016653741349636
4.096,0.98,0.32,8972,9132.761152463234,4096,785996578.37434,0.0023933340768261787,753.700237096849,-0.1,96.15490596092761,228.95870250496034,16.297471984576795
4.096,0.98,0.32,8972,9132.761152463234,-20484096,785996576.3263401,0.0028127194559168273,567.7141862117062,-0.1,97.09329886245325,214.38222682243685,15.315934706049356
4.096,0.98,0.32,8972,9132.761152463234,61444096,785996584.5183401,0.001243658765339939,693.2594624910932,-0.1,86.00847408052965,117.45417661789578,7.930410145429571
4.096,0.98,0.32,8972,9132.761152463234,71684096,785996585.54234,0.0011423528502829212,771.7677975565881,-0.1,83.20443941177733,114.72066253030745,7.939297590911947
4.096,0.98,0.32,8972,9132.761152463234,51204096,785996583.4943401,0.0007816935304133911,973.1119289744955,0.5252530357442237,79.21473132874092,92.89882728877646,5.231461738373996
